Date,SKU,Quantity,Mode,cost,start date
30/04/2025,BEDFRME-NATURAL-WOODHB,50,RECEIVING,,26/11/2024
30/04/2025,BEDFRME-WALNUT-WOODHB,50,RECEIVING,,26/11/2024
16/08/2025,BEDFRME-WALNUT-WOODHB,28,SALE,,26/11/2024
01/09/2025,BEDFRME-NATURAL-WOODHB,29,SALE,,26/11/2024
,,,,,
30/09/2024,DUDUK-BENCH-DINING-CAPP,50,RECEIVING,,08/10/2024
30/09/2024,DUDUK-BENCH-DINING-NATURAL,50,RECEIVING,,08/10/2024
25/06/2025,DUDUK-BENCH-DINING-CAPP,18,SALE,,08/10/2024
10/03/2025,DUDUK-BENCH-DINING-NATURAL,20,SALE,,08/10/2024
,,,,,
21/11/2024,HANGER-COAT-813-OAK,25,SALE,,15/06/2024
07/02/2025,HANGER-COAT-813-CAPP,22,SALE,,
08/04/2025,HANGER-COAT-813-OAK,125,RECEIVING,,
08/04/2025,HANGER-COAT-813-CAPP,125,RECEIVING,,
08/04/2025,HANGER-COAT-813-NATURAL,50,RECEIVING,,
13/08/2025,HANGER-COAT-813-OAK,12,SALE,,
21/07/2025,HANGER-COAT-813-CAPP,14,SALE,,
04/08/2025,HANGER-COAT-813-NATURAL,8,SALE,,
,,,,,
05/04/2023,HANGER-WALL-NATURAL,101,RECEIVING,,05/04/2023
05/04/2023,HANGER-WALL-WHITE,101,RECEIVING,,
11/02/2025,HANGER-WALL-NATURAL,82,SALE,,
14/07/2025,HANGER-WALL-WHITE,67,SALE,,
,,,,,
25/01/2023,RACK-CORNER-4TIER-CAPP,64,RECEIVING,,25/01/2023
25/01/2023,RACK-CORNER-5TIER-CAPP,35,RECEIVING,,
26/05/2025,RACK-CORNER-4TIER-CAPP,26,SALE,,
16/05/2025,RACK-CORNER-5TIER-CAPP,29,SALE,,
14/01/2025,RACK-MULTI-4TIER-WALNUT,25,RECEIVING,,14/01/2025
14/01/2025,RACK-MULTI-4TIER-NATURAL,25,RECEIVING,,
22/08/2025,RACK-MULTI-4TIER-WALNUT,24,SALE,,
18/08/2025,RACK-MULTI-4TIER-NATURAL,25,SALE,,
,,,,,
11/10/2024,TILAM-SINGLE-4INCH,100,RECEIVING,55,16/09/2024
27/11/2024,TILAM-SINGLE-4INCH,50,RECEIVING,,
27/11/2024,TILAM-SINGLE-5INCH,30,RECEIVING,75,
27/11/2024,TILAM-LIPAT-GREY,30,RECEIVING,55,
30/11/2024,TILAM-LIPAT-GREY,7,RECEIVING,55,
16/12/2024,TILAM-LIPAT-GREY,30,RECEIVING,,
16/12/2024,TILAM-SINGLE-5INCH,30,RECEIVING,,
02/01/2025,TILAM-SINGLE-5INCH,30,RECEIVING,,
02/01/2025,TILAM-PILLOW-POLYFOAM,50,RECEIVING,10,
17/01/2025,TILAM-LIPAT-GREY,30,RECEIVING,,
17/01/2025,TILAM-SINGLE-4INCH,30,RECEIVING,,
06/02/2025,TILAM-SINGLE-4INCH,50,RECEIVING,,
25/02/2025,TILAM-SINGLE-5INCH,30,RECEIVING,,
18/03/2025,TILAM-LIPAT-GREY,30,RECEIVING,,
18/03/2025,TILAM-SINGLE-4INCH,50,RECEIVING,,
08/04/2025,TILAM-SINGLE-4INCH,50,RECEIVING,,
08/04/2025,TILAM-SINGLE-5INCH,30,RECEIVING,,
22/04/2025,TILAM-LIPAT-GREY,50,RECEIVING,,
22/04/2025,TILAM-SINGLE-4INCH,30,RECEIVING,,
21/10/2024,TILAM-SINGLE-4INCH,41,SALE,,
21/10/2024,TILAM-SINGLE-5INCH,27,SALE,,
21/10/2024,TILAM-LIPAT-GREY,10,SALE,,
03/12/2024,TILAM-SINGLE-4INCH,65,SALE,,
03/12/2024,TILAM-SINGLE-5INCH,36,SALE,,
03/12/2024,TILAM-LIPAT-GREY,19,SALE,,
02/12/2024,TILAM-PILLOW-POLYFOAM,22,SALE,,
31/12/2024,TILAM-SINGLE-4INCH,45,SALE,,
22/08/2025,TILAM-SINGLE-4INCH,178,SALE,,
27/08/2025,TILAM-SINGLE-5INCH,127,SALE,,
15/08/2025,TILAM-LIPAT-GREY,198,SALE,,
,,,,,
06/06/2025,MEJA-CT1101-OAK,40,RECEIVING,,06/06/2025
06/06/2025,MEJA-CT1101-CAPP,60,RECEIVING,,
19/08/2025,MEJA-CT1101-OAK,12,SALE,,
25/08/2025,MEJA-CT1101-CAPP,6,SALE,,
06/06/2025,MEJA-JEPUN-15,48,RECEIVING,,
01/09/2025,MEJA-JEPUN-15,32,SALE,,
,,,,,
02/08/2025,MEJA-CONSOLE-3FT-CAPP,163,RECEIVING,,26/04/2025
02/08/2025,MEJA-CONSOLE-4FT-CAPP,195,RECEIVING,,
01/09/2025,MEJA-CONSOLE-3FT-CAPP,157,SALE,,
26/08/2025,MEJA-CONSOLE-4FT-CAPP,188,SALE,,
,,,,,
15/03/2025,MEJA-CT1050-OAK,10,SALE,,22/01/2025
15/03/2025,MEJA-CT1050-CAPP,18,SALE,,
14/07/2025,MEJA-OXV,25,SALE,,
12/03/2025,MEJA-CT-SW,9,SALE,,
,,,,,
21/07/2025,STOOL-MINI-OAK,10,SALE,,27/12/2024
07/07/2025,STOOL-MINI-CAPP,48,SALE,,
30/08/2025,STOOL-MINI-NATURAL,39,SALE,,
27/08/2025,STOOL-JAPANESE-OAK,78,SALE,,
15/08/2025,STOOL-JAPANESE-CAPP,122,SALE,,
,,,,,
01/09/2025,STOOL-STEP-24INCH-OAK,118,SALE,,23/09/2024
28/08/2025,STOOL-STEP-24INCH-CAPP,155,SALE,,
,,,,,
01/09/2025,RACK-SHOERACK-BENCH-OAK,100,SALE,,07/01/2025
22/07/2025,RACK-SHOERACK-BENCH-CAPP,104,SALE,,
,,,,,
11/08/2025,STOOL-BAR-18INCH-CAPP,180,SALE,,03/04/2025
01/09/2025,STOOL-BAR-29INCH-CAPP,290,SALE,,12/12/2024
,,,,,
28/08/2025,RACK-SHOERACK-4TIER-CAPP,60,SALE,,17/12/2024
25/08/2025,RACK-SHOERACK-3TIER-CAPP,64,SALE,,
15/08/2025,RACK-SHOERACK-MD780-CAPP,31,SALE,,
30/08/2025,RACK-SHOERACK-3TIER-OAK,5,SALE,,
,,,,,
01/09/2025,TWRACK-HTR-OAK,321,SALE,,22/10/2024
01/09/2025,TWRACK-HTR-CAPP,327,SALE,,
,,,,,
29/08/2025,STOOL-CUSHION-PU-BLACK,27,SALE,,10/03/2025
25/08/2025,STOOL-CUSHION-PU-BROWN,58,SALE,,
27/08/2025,STOOL-CUSHION-FABRIC-LIGHTBROWN,18,SALE,,
29/08/2025,STOOL-CUSHION-PU-POCKET-BLACK,27,SALE,,
20/05/2025,STOOL-CUSHION-FABRIC-MATCHA,7,SALE,,
01/09/2025,STOOL-CUSHION-FABRIC-GREY,42,SALE,,
,,,,,
01/09/2025,TWRACK-SUPER-OAK,920,SALE,,09/01/2025
01/09/2025,TWRACK-SUPER-CAPP,1166,SALE,,
14/08/2025,TWRACK-STAR-OAK,636,SALE,,02/04/2024
01/09/2025,TWRACK-STAR-CAPP,759,SALE,,
29/08/2025,TWRACK-STD-OAK,2305,SALE,,10/03/2025
28/08/2025,TWRACK-STD-CAPP,2267,SALE,,
01/09/2025,TWRACK-STD-NATURAL,509,SALE,,
